'c', 'type(B)','name', 'boundary_type', 'visible(t/f)', 'line rgb-colour', 'rgb-fill-colour',,,,,
'B','MNP01 - Westaways Creek','Exclusion','t',"rgb(0,255,0)","rgb(255,0,255)",,,,,,
'c', 'type(BP)', 'name', lat, lon, 'boundary_type', 'visible', 'rings-visible(t/f)', 'rings-number', 'rings-step', 'rings-units(N/K)', 'rings-colour'
'BP','0',-26.8916666666667,153.11085,,,,,,,,
'BP','1',-26.9044833333333,153.08435,,,,,,,,
'BP','2',-26.9041833333333,153.08435,,,,,,,,
'BP','3',-26.8962,153.099666666667,,,,,,,,
'BP','0',-26.8916666666667,153.11085,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP02 - Tripcony Bight','Exclusion',,,,,,,,,
'BP','0',-26.93785,153.066333333333,,,,,,,,
'BP','1',-26.9434833333333,153.07135,,,,,,,,
'BP','2',-26.9462833333333,153.072316666667,,,,,,,,
'BP','3',-26.94745,153.074166666667,,,,,,,,
'BP','4',-26.9409,153.074166666667,,,,,,,,
'BP','5',-26.92255,153.073466666667,,,,,,,,
'BP','6',-26.92255,153.077,,,,,,,,
'BP','7',-26.9508,153.08735,,,,,,,,
'BP','8',-26.9508,153.087266666667,,,,,,,,
'BP','9',-26.94565,153.083816666667,,,,,,,,
'BP','10',-26.9495166666667,153.081083333333,,,,,,,,
'BP','11',-26.9528166666667,153.083583333333,,,,,,,,
'BP','12',-26.9560333333333,153.0821,,,,,,,,
'BP','13',-26.9570666666667,153.080716666667,,,,,,,,
'BP','14',-26.9570666666667,153.077816666667,,,,,,,,
'BP','15',-26.9593,153.075483333333,,,,,,,,
'BP','16',-26.9597333333333,153.075483333333,,,,,,,,
'BP','17',-26.9623833333333,153.07405,,,,,,,,
'BP','18',-26.96355,153.07405,,,,,,,,
'BP','19',-26.9695166666667,153.075433333333,,,,,,,,
'BP','20',-26.9733333333333,153.075433333333,,,,,,,,
'BP','21',-26.9733333333333,153.065733333333,,,,,,,,
'BP','0',-26.93785,153.066333333333,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP03 - Northern Wedge','Exclusion',,,,,,,,,
'BP','0',-26.8573333333333,153.166666666667,,,,,,,,
'BP','1',-26.8573333333333,153.179833333333,,,,,,,,
'BP','2',-26.9106666666667,153.235,,,,,,,,
'BP','3',-26.9416666666667,153.333333333333,,,,,,,,
'BP','4',-27.0355,153.333333333333,,,,,,,,
'BP','5',-27.0355,153.2795,,,,,,,,
'BP','0',-26.8573333333333,153.166666666667,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP05 - Cape Moreton','Exclusion',,,,,,,,,
'BP','0',-27.0214833333333,153.456366666667,,,,,,,,
'BP','1',-27.0253166666667,153.4659,,,,,,,,
'BP','2',-27.0275666666667,153.4659,,,,,,,,
'BP','3',-27.0243833333333,153.456366666667,,,,,,,,
'BP','0',-27.0214833333333,153.456366666667,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP06 - Heath Island','Exclusion',,,,,,,,,
'BP','0',-27.0386666666667,153.397383333333,,,,,,,,
'BP','1',-27.0382166666667,153.397383333333,,,,,,,,
'BP','2',-27.0334833333333,153.422983333333,,,,,,,,
'BP','3',-27.0337166666667,153.425216666667,,,,,,,,
'BP','4',-27.0351166666667,153.419283333333,,,,,,,,
'BP','5',-27.0365333333333,153.409816666667,,,,,,,,
'BP','0',-27.0386666666667,153.397383333333,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP07 - Braydon Beach','Exclusion',,,,,,,,,
'BP','0',-27.0419666666667,153.463083333333,,,,,,,,
'BP','1',-27.0419666666667,153.46845,,,,,,,,
'BP','2',-27.0737,153.456633333333,,,,,,,,
'BP','3',-27.0737,153.451366666667,,,,,,,,
'BP','0',-27.0419666666667,153.463083333333,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP08 - Deep Offshore Moreton Island','Exclusion',,,,,,,,,
'BP','0',-27.0253333333333,153.515333333333,,,,,,,,
'BP','1',-27.0253333333333,153.525116666667,,,,,,,,
'BP','2',-27.1,153.5425,,,,,,,,
'BP','3',-27.1,153.515333333333,,,,,,,,
'BP','0',-27.0253333333333,153.515333333333,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP09 - Deception Bay','Exclusion',,,,,,,,,
'BP','0',-27.1346666666667,153.057916666667,,,,,,,,
'BP','1',-27.0907,153.121666666667,,,,,,,,
'BP','2',-27.10985,153.121666666667,,,,,,,,
'BP','3',-27.1346666666667,153.0893,,,,,,,,
'BP','0',-27.1346666666667,153.057916666667,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP10 - Cherubs Cave / Henderson Rock','Exclusion',,,,,,,,,
'BP','0',-27.108,153.44615,,,,,,,,
'BP','1',-27.108,153.490666666667,,,,,,,,
'BP','2',-27.1688333333333,153.490666666667,,,,,,,,
'BP','3',-27.1688333333333,153.430483333333,,,,,,,,
'BP','0',-27.108,153.44615,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP11 - Hays Inlet','Exclusion',,,,,,,,,
'BP','0',-27.2465333333333,153.069233333333,,,,,,,,
'BP','1',-27.2465333333333,153.063,,,,,,,,
'BP','2',-27.2513166666667,153.050366666667,,,,,,,,
